RAMP_TO_RAMP,AIR_TIME,DISTANCE
724,648,1199
365,291,524
508,405,692
720,653,1154
756,668,1154
670,572,1069
443,356,649
356,295,524
730,621,1337
645,552,1154
613,538,1154
606,535,996
473,405,752
1766,1681,3414
620,528,826
597,533,1062
837,738,1558
772,700,1558
541,459,804
593,484,967
715,635,1123
474,401,752
1593,1526,3414
569,461,826
488,408,804
265,209,349
841,768,1449
479,411,775
784,718,1553
577,466,853
473,410,794
570,508,948
581,510,896
470,391,680
936,853,1553
501,436,794
339,237,391
426,360,639
593,493,977
514,422,794
446,339,563
347,232,391
557,460,896
558,466,846
611,527,896
557,434,846
425,353,680
344,236,420
322,264,420
473,401,1081
680,593,1081
581,472,850
596,499,1024
320,240,391
283,212,391
580,440,692
751,609,977
741,657,977
486,335,455
928,791,1199
438,350,455
919,790,1201
322,225,250
615,508,752
428,316,420
539,407,533
723,572,872
502,403,604
339,263,472
791,662,916
350,235,250
513,404,533
741,638,872
534,426,776
348,235,391
540,437,649
1037,907,1337
980,856,1491
564,441,692
929,816,1337
786,660,1069
1012,900,1605
665,587,836
785,681,964
626,542,819
887,758,948
721,623,909
552,456,639
1298,1117,1703
611,506,836
497,399,533
502,355,495
626,528,819
707,618,991
755,634,1024
717,621,948
551,476,639
830,736,1014
689,598,854
530,448,680
578,498,770
700,622,883
643,564,854
422,350,495
987,899,1290
683,592,770
655,545,770
606,442,602
533,396,602
581,474,680
545,449,692
199,133,90
202,135,90
807,640,872
834,598,680
994,809,1081
1074,902,1081
1229,1019,1199
1198,1029,1201
941,740,834
1214,1020,1337
1014,828,964
1103,939,1040
640,515,589
751,603,752
501,389,420
891,716,872
601,492,604
911,790,1040
756,642,898
928,774,916
602,482,541
671,544,639
747,618,775
959,829,1123
862,719,1015
818,690,977
540,436,533
813,647,896
896,781,1062
1430,1246,1605
926,822,977
962,854,977
824,713,964
899,771,896
1495,1270,1558
1336,1240,1703
1378,1242,1447
533,424,533
911,798,957
505,407,495
1249,1138,1447
887,717,967
466,348,391
1112,981,1199
872,738,1199
808,588,641
514,373,472
916,771,1024
290,215,207
812,659,872
855,652,872
317,227,207
875,716,872
538,404,483
582,444,420
552,408,420
1128,960,1162
1227,1116,1162
927,779,775
1035,831,845
1612,1380,1337
383,257,212
1508,1283,1482
1775,1601,1482
564,427,455
783,646,649
915,776,850
599,461,455
733,620,649
967,832,850
666,535,589
1063,950,996
1062,929,996
903,759,896
623,495,495
1197,1070,1290
581,444,391
682,568,589
971,836,996
729,577,533
1085,912,896
1632,1460,1558
1340,1210,1290
653,535,541
896,769,775
1276,1165,1201
1470,1315,1605
1123,1010,1179
1267,1159,1436
1213,1094,1179
696,581,541
944,759,692
387,216,141
633,491,483
1013,825,1024
1132,978,1024
856,665,602
826,665,602
1398,1167,1201
1431,1243,1069
769,625,639
757,579,495
999,854,775
957,822,775
1777,1538,1671
1366,1149,1123
1881,1695,1703
1696,1542,1620
922,791,826
882,731,680
1313,1118,1024
740,593,541
1155,1000,996
1283,1143,1062
668,474,391
1097,955,836
1123,968,883
1178,924,862
703,559,495
899,704,602
1252,1063,967
843,689,628
849,670,533
1721,1567,1436
1361,1096,1014
1351,1146,964
1137,933,964
1240,1011,957
508,315,152
476,290,152
456,248,141
918,702,543
924,696,543
1038,786,604
1092,852,655
942,738,604
1032,804,655
1086,942,665
930,768,665
1073,842,692
1213,981,752
854,659,495
833,624,495
1155,944,752
551,363,212
1408,1178,964
2143,1909,1491
1247,1067,977
1327,1173,991
1583,1339,1123
1227,1068,996
1371,1228,977
1267,1076,826
1546,1340,1199
1846,1684,1671
1363,1227,977
1036,876,680
1224,1041,794
1846,1593,1476
1422,1259,1024
2014,1699,1154
1535,1252,850
1742,1482,1154
1249,991,639
1404,1176,770
2439,2224,1671
2046,1727,1491
948,723,589
892,688,483
1243,1050,776
1057,856,589
2229,1971,1452
1608,1403,1062
1233,1031,819
1203,1008,776
1576,1408,1201
1066,888,628
1049,885,680
1534,1336,1024
912,737,495
1610,1450,1024
1475,1225,967
1452,1161,809
2283,1999,1476
999,769,589
1057,835,589
2182,1882,872
1438,1179,872
1003,758,541
1056,852,541
73,60,218
66,52,218
946,831,328
820,718,328
2481,2190,1620
1065,854,495
2505,2261,1491
1764,1491,996
2082,1848,1452
1497,1304,1062
955,680,472
1415,1186,819
1605,1388,909
1039,768,483
2060,1860,1452
1537,1274,862
1096,892,533
1066,900,602
1572,1308,834
1429,1156,834
1742,1447,1015
2982,2629,1626
3498,3020,1626
1496,1229,794
1709,1440,794
2006,1761,996
1429,1185,680
2385,2072,1436
2000,1718,1024
1420,1127,641
1829,1542,896
1413,1120,680
1574,1327,909
1789,1552,1014
1101,933,632
1451,1128,637
2238,1986,1069
1992,1686,1069
3306,2811,1620
1153,823,391
1758,1468,752
1090,862,455
1386,1110,589
1705,1415,896
1092,792,472
1655,1405,819
2637,2328,1506
2883,2598,1546
