UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
6460,15016,11292,0
6460,15304,11433,0
6460,15412,11292,0
6200,11292,11413,16753
6200,11292,11292,14986
6200,11292,11292,50142
6200,11292,13502,23383
6200,11292,11298,47075
6200,11292,14877,42470
6200,11921,11292,42190
6200,12339,15016,13780
6200,13198,11109,114987
6200,13244,11292,42190
6200,13796,12012,30465
6830,11292,12889,0
6830,12266,14730,0
6689,13502,11292,0
6904,11292,11292,0
6904,11413,14057,0
6904,11986,11292,0
6820,11298,11292,0
6820,13502,13487,1
6932,11292,13487,0
6932,14877,11292,0
6085,11109,11986,0
6085,11292,11292,0
6085,12266,11292,0
6085,12266,11109,0
6910,11292,11921,18239
6910,11292,12003,32891
6910,11292,14057,25727
6910,14869,14683,14991
6910,14869,11109,66035
0A050,11292,10372,0
0A050,12892,11292,428
0A050,14100,11298,0
1260,11292,11292,188
1260,11292,11921,70
1260,14869,11292,0
7041,11292,11292,0
7041,11423,11292,0
6700,11109,11292,0
6700,11292,11292,0
6700,11292,10397,0
6700,11292,10721,0
6700,11292,11278,0
6700,11292,11884,0
6700,11638,12278,0
6700,11921,14492,0
6700,11921,14689,0
6700,11921,15304,0
6700,12003,15376,0
6700,13930,11292,0
6700,14679,11292,0
6700,15919,11292,0
0A875,10397,11292,375
0A875,11193,11292,106
0A875,11278,11292,0
0A875,11292,11292,1391
0A875,11292,11292,0
0A875,11292,11292,0
0A875,11292,10140,46
0A875,11292,10821,0
0A875,11292,10994,33
0A875,11292,11066,0
0A875,11292,11884,104
0A875,11292,14730,114
0A875,11603,14869,0
0A875,11618,11292,19
0A875,11884,11292,62
0A875,11986,11292,4
0A875,12278,11292,20
0A875,12889,11292,0
0A875,15304,11292,1
0A875,15376,10599,7
6725,10713,11066,0
6725,11292,13487,173
6725,11292,15370,190
6725,11292,11292,59
6725,11292,13485,1128
6725,11292,13487,431
6725,11292,14492,208
6725,11292,14683,565
6725,11884,11292,0
6725,14057,11292,1579
6725,14679,11292,13
6725,14747,10620,43
6725,14831,11540,210
6003,11066,11292,0
6003,11292,11193,0
6003,11292,14869,0
6003,11292,11292,0
6003,11292,11292,0
6003,13851,10849,0
6460,11292,13487,0
6460,11292,14730,0
6460,11292,11292,0
6460,11292,11292,0
6460,13485,11292,0
6460,14492,11292,0
6460,14683,11292,0
6200,11292,10279,39954
6200,11292,10849,67964
7024,11193,11193,0
7024,11292,11267,0
6910,11292,11986,33216
0A050,11298,12896,2100
7041,10849,13502,0
7041,11292,13891,0
7041,11292,14107,0
7041,11292,14262,0
7041,13367,14489,0
7041,14730,14683,0
6700,10140,15370,0
6700,10279,11292,0
6700,10849,11921,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,10397,0
6700,11292,11618,0
6700,11292,13198,0
6700,11292,14262,0
6700,11292,11292,0
6700,11423,11292,0
6700,12892,11292,0
6700,12896,11292,0
6700,13502,11292,0
6700,13891,11292,0
6700,14107,11292,0
6700,14457,11292,0
0A875,10800,10994,0
0A875,10821,12339,133
0A875,11057,12954,130
0A875,11292,13198,472
0A875,11292,13495,568
0A875,11292,13495,0
0A875,11292,13871,0
0A875,13851,13891,64
0A875,13930,13931,1505
0A875,14262,14683,34
0A875,14492,14747,20
6725,10140,14831,884
6725,10257,14893,0
6725,10397,15376,119
6725,10529,11292,1352
6725,11292,11292,451
6725,11292,11292,368
6725,11292,11292,0
6725,11292,11292,318
6725,11292,11292,137
6725,11292,11292,107
6725,11292,11292,40
6725,11292,11292,2230
6725,11292,10140,95
6725,11292,10693,0
6725,11292,11540,1828
6725,11292,13244,18
6725,11292,13851,326
6725,11292,15919,559
