PAYLOAD,FREIGHT,MAIL
3732400,23828,0
2975600,48139,0
1191000,0,0
3044800,24710,0
3192000,1318,770
1191000,0,0
3819200,43786,0
1736240,534,15
1738060,1560,6089
1736240,639,0
3191700,1832,584
1738060,4,0
3148600,25628,0
1368000,0,0
3168402,3662,40851
3711200,888,0
3702300,9661,5603
3287000,30015,0
4166400,31990,0
3390800,18634,0
3356200,50293,0
3425400,12117,0
1520000,0,0
4505434,10513,61258
1535200,0,0
1332500,0,0
4047677,2803,29723
3494600,25486,0
3529200,45989,0
3748875,8100,96308
3633000,23249,0
3667600,8150,0
3736800,6591,0
1641600,0,0
3771400,17680,0
1972320,0,0
1989930,0,0
3909800,15210,0
3944400,50091,0
4840470,31358,33174
4152000,36110,0
4234700,0,0
4276300,1,0
5251400,28560,0
4290400,36751,0
5555200,43848,0
1697000,0,0
4454689,19354,15182
4498000,33389,0
4532600,4682,0
4567200,44521,0
1801500,0,0
5570046,5492,27574
2097600,0,0
2097600,0,0
4878600,9744,0
4913200,18667,0
5426740,18075,49923
5017000,92042,0
4947800,29343,0
5541250,14547,10815
5946599,28347,53760
5692430,8777,1159
5806640,27440,12718
6510000,62523,0
5224600,35007,0
5466800,57317,0
5501400,45317,0
5802202,12202,11290
5882000,142094,0
5985800,55050,0
3199580,0,0
3255800,0,0
6228000,26103,0
9306000,10717,119515
9202600,4059,34073
6539400,22029,0
7266000,39128,0
7369800,47129,0
7473600,36027,0
8854271,40711,118676
11456600,6733,193
9259504,66501,52128
8823000,28035,0
12957400,24641,11700
