FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
148,1487,191,0,0,VA,CO,6700
149,349,52,0,70,CO,NM,6700
150,1199,183,0,62,CO,GA,6700
151,775,129,0,69,CO,TX,6700
152,692,89,0,58,CO,IA,6700
153,391,64,0,45,CO,WY,6700
154,230,37,0,43,CO,WY,6700
155,641,91,0,67,CO,TX,6700
156,1015,137,0,69,CO,MI,6700
157,862,118,0,0,CO,TX,6700
158,406,64,0,69,CO,WY,6700
159,771,98,0,48,CO,AR,6700
160,964,127,0,63,CO,OR,6700
161,472,61,0,63,CO,NE,6700
162,888,114,0,65,CO,IL,6700
163,898,133,0,40,CO,OR,6700
164,853,112,0,76,CO,CA,6700
165,1024,130,0,50,CO,KY,6700
166,967,147,0,0,CO,CA,6700
167,967,134,0,0,CO,CA,6700
168,846,110,0,68,CO,CA,6700
169,557,86,0,73,CO,ID,6700
170,592,86,0,0,TX,CO,6700
171,655,84,0,0,CO,CA,6700
172,862,122,0,0,TX,CO,6700
173,406,57,0,34,WY,CO,6700
174,113,51,0,53,WY,CO,6700
175,862,113,0,0,CA,CO,6700
176,771,110,0,62,AR,CO,6700
177,964,122,0,16,OR,CO,6700
178,734,93,0,0,MT,CO,6700
179,888,134,0,0,IL,CO,6700
180,991,131,0,76,OR,CO,6700
181,730,111,0,41,WA,CO,6700
182,853,122,0,69,CA,CO,6700
183,794,107,0,65,TX,CO,6700
184,496,105,0,45,UT,CO,6700
185,909,118,0,68,CA,CO,6700
186,846,114,0,67,CA,CO,6700
187,349,48,1,140,NM,CO,0A875
188,1671,218,0,151,CT,CO,0A875
189,1754,235,0,127,MA,CO,0A875
190,524,67,0,84,MT,CO,0A875
191,349,52,0,144,CO,NM,0A875
192,455,66,55,154,CO,MT,0A875
193,1754,194,865,150,CO,MA,0A875
194,524,74,181,144,CO,MT,0A875
195,1069,144,0,89,CO,KY,0A875
196,1123,128,0,86,CO,MI,0A875
197,1703,203,0,126,CO,FL,0A875
198,1452,179,0,200,CO,VA,0A875
199,862,113,0,126,CO,TX,0A875
200,628,89,10,106,CO,NV,0A875
201,533,70,703,137,CO,MO,0A875
202,1546,184,0,102,CO,FL,0A875
203,888,111,0,121,CO,IL,0A875
204,1558,175,55,134,CO,PA,0A875
205,776,102,0,99,CO,CA,0A875
206,1482,178,0,128,CO,VA,0A875
207,804,113,0,105,CO,NV,0A875
208,391,69,77,126,CO,UT,0A875
209,770,97,0,162,CO,MO,0A875
210,770,95,0,119,CO,MO,0A875
211,541,63,11,124,CO,OK,0A875
212,1452,185,306,173,VA,CO,0A875
213,862,119,0,161,TX,CO,0A875
214,862,110,0,207,TX,CO,0A875
215,533,80,0,107,MO,CO,0A875
216,1546,204,85,166,FL,CO,0A875
217,776,105,0,164,CA,CO,0A875
218,776,105,42,97,CA,CO,0A875
219,1482,200,0,138,VA,CO,0A875
220,804,99,0,38,NV,CO,0A875
221,794,107,117,128,TX,CO,0A875
222,916,119,0,109,CA,CO,0A875
223,967,122,508,129,CA,CO,0A875
224,967,215,8694,385,CA,CO,0A875
225,846,114,0,159,CA,CO,0A875
226,770,109,0,157,MO,CO,0A875
227,770,111,24,125,MO,CO,0A875
228,541,86,23,123,OK,CO,0A875
229,1449,248,85,107,SC,CO,6725
230,1201,164,1026,139,OH,CO,6725
231,349,51,0,128,CO,NM,6725
232,649,97,944,121,CO,ID,6725
233,1123,137,110,140,CO,MI,6725
234,1015,128,96,128,CO,MI,6725
235,896,104,0,136,CO,WI,6725
236,991,138,0,133,CO,OR,6725
237,1558,180,377,138,CO,PA,6725
238,804,118,760,139,CO,NV,6725
239,1607,200,0,163,CO,FL,6725
240,541,73,26,141,CO,OK,6725
241,1123,153,160,123,MI,CO,6725
242,1015,137,0,84,MI,CO,6725
243,1062,137,345,175,LA,CO,6725
244,1290,189,569,143,PA,CO,6725
245,804,102,0,140,NV,CO,6725
246,1607,212,0,171,FL,CO,6725
247,909,118,6,140,CA,CO,6725
248,1199,159,0,61,GA,CO,6003
249,73,17,0,73,CO,CO,6003
250,1201,139,0,70,CO,OH,6003
251,73,21,0,65,CO,CO,6003
252,589,74,0,60,CO,IA,6003
253,420,64,0,33,CO,KS,6003
254,472,64,0,65,CO,NE,6003
255,391,66,0,69,CO,UT,6003
256,420,68,0,52,KS,CO,6003
257,1024,153,0,67,KY,CO,6003
258,541,80,0,52,OK,CO,6003
