UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
6673,12954,11292,146
1006,11292,14771,117
1006,14771,11292,119
1126,11423,10325,2
6081,11292,11315,43
6081,11292,12389,41
6081,11315,11292,35
6081,11503,15016,22
6081,15016,11503,38
6081,12544,11503,0
6055,10397,11292,0
6055,11292,11315,0
6035,11109,11292,156
6035,12889,11109,0
1150,10372,10800,3
1150,10800,11503,4
1150,11503,10800,3
1150,14869,10372,2
0A050,11292,14107,62
0A050,14100,11292,56
1260,10397,11109,160
1260,10397,11292,30
1260,10397,11292,150
1260,11109,10397,160
1260,11109,11298,139
1260,11122,11292,103
1260,11292,10397,4
1260,11292,10397,129
1260,11292,10397,62
1260,11292,11193,0
1260,11292,11433,148
1260,11292,11775,150
1260,11292,12889,149
1260,11292,14679,102
1260,11292,14869,50
1260,11433,11292,147
1260,13487,11292,160
1260,13851,11292,156
1260,14771,11292,61
1260,14869,11292,52
6690,10529,11292,0
6690,11109,14771,0
6690,13796,11109,27
0A875,10558,11292,126
0A875,11292,11042,70
0A875,11292,14771,152
0A875,11292,12892,122
0A875,11292,13303,174
0A875,11292,14524,163
0A875,13341,11292,58
10877,11292,14771,200
6725,11109,11292,281
6725,11233,11292,278
6725,11233,11292,175
6725,11259,11109,141
6725,11292,11503,142
6725,11292,11109,160
6725,11292,11292,164
6725,11292,12896,143
6725,11292,12992,132
6725,11292,11109,143
6725,11292,11292,165
6725,14831,10423,140
11033,11109,13930,120
1194,10325,14831,1
1194,10325,10325,0
1194,10325,10325,1
1194,10423,10372,1
1194,11066,12889,0
1194,14792,11292,6
16736,11292,11292,0
1130,10466,13796,30
1130,10747,14869,15
1130,11292,11921,21
1130,11292,11563,0
1130,11292,11292,45
1130,11563,11292,138
1130,11921,13796,138
1130,14576,11292,0
1130,15370,13342,20
6774,11292,11292,0
6774,11376,10590,0
1189,11292,10590,14
1189,14570,11292,13
6795,11292,11719,286
6795,11719,13502,149
6795,10590,14288,129
6795,10590,10590,148
6795,10590,10590,93
6795,10590,14288,156
6795,13502,13796,93
6795,14288,11292,154
6912,11840,11193,0
6912,14288,11292,0
6841,11193,11109,0
6841,11292,11292,0
6031,11109,13851,156
6031,14747,11292,156
6904,10558,11292,49
6904,11292,11292,34
6975,10325,10558,5
6975,10558,11283,329
6975,11283,11292,116
6975,11292,11468,343
6975,11292,12899,176
6975,11292,12902,37
6975,11292,11292,645
6975,11292,11292,423
6975,11292,10325,82
6975,11468,11292,600
6975,12899,11711,422
6975,12902,11292,5
6975,12902,11292,153
6932,11292,12389,5
6932,14288,11292,5
1177,11292,12889,6
6081,10558,11921,20
6081,11292,11292,40
6081,11292,11298,34
6081,12389,12278,121
6035,11921,10721,113
6035,12889,12892,151
0A050,11109,12992,150
0A050,11109,11292,133
0A050,11109,11109,124
0A050,11292,11292,168
